Inv. Date,Area,Customer,Customer Name,Comp,Branch,STYP,Order No,  Item,DLV. No,  Item,Bill Typ,Invoice No,  Item,Mat.Gr,Parts No,Description,Q'ty,BUn,  Sales Amount,        Tax,Faktur Pajak No.
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,10,796507315,10,ZFBH,56317477,3,8R1,VH23390E0020J1M," ELEMENT, FUEL",1,PC,"115,700","12,727",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,20,796507316,10,ZFBH,56317477,4,8R1,YN21P01157R100J1J,"FILTER, FUEL",1,PC,"210,000","23,100",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,30,796507317,10,ZFBH,56317477,5,8R1,VHS156072190J1M," FILTER, OIL",1,PC,"115,700","12,727",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,40,796507318,10,ZFBH,56317477,6,8R1,YN52V01025R100,REPAIR KIT,1,PC,"857,350","94,309",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,50,796507319,10,ZFBH,56317477,7,8R1,YN11P00029S003D,"# ELEMENT,FILTER",1,PC,"376,200","41,382",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,60,796507320,10,ZFBH,56317477,8,8R1,YN11P00029S002D,"# ELEMENT,FILTER",1,PC,"318,000","34,980",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,70,796507321,10,ZFBH,56317477,9,8R1,YN57V00012S002,"ELEMENT, FILTER",1,PC,"427,180","46,990",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,80,796507322,10,ZFBH,56317477,10,8R1,LQ50V01009P1,FILTER,1,PC,"242,450","26,670",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,90,796507323,10,ZFBH,56317477,11,8R1,LQ50V01007P1,FILTER,1,PC,"471,900","51,909",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,120,796507324,10,ZFBH,56317477,12,8RB,DKL-EOILDH1-I22,OIL ENGINE DH1 15W40 (PAIL-22),1,PC,"650,000","71,500",010.002-23.87620229
04.01.2023,,F7499A,PT.KALIMANTAN INTI MAJU,AR1,AYC,ZAB1,901148611,130,796507325,10,ZFBH,56317477,13,8RB,DKL-GOIL-90-I5,OIL GEAR 90 (PAIL 5 LITERS),3,PC,"675,000","74,250",010.002-23.87620229
